id,longitud,latitud,demanda
2403,-56.168995,-34.900417,4507
2404,-56.169014,-34.90043,4081
2405,-56.169464,-34.89999,4706
2406,-56.169476,-34.899975,4706
2407,-56.169483,-34.899952,4706
2408,-56.168106,-34.901318,3606
2409,-56.168106,-34.901337,3227
2410,-56.167927,-34.90193,3647
2411,-56.168,-34.90236,3438
2412,-56.167984,-34.90271,2642
2413,-56.16781,-34.90326,3125
2414,-56.167892,-34.903744,3011
2415,-56.167717,-34.904045,3046
2416,-56.167797,-34.904743,2591
2417,-56.168766,-34.904667,2469
2418,-56.1688,-34.904335,3089
2419,-56.168804,-34.904316,3089
2420,-56.16885,-34.903816,3089
2421,-56.168854,-34.90379,3089
2422,-56.16898,-34.902596,3762
2423,-56.168983,-34.902573,3762
2424,-56.1692,-34.901886,3693
2425,-56.169205,-34.901855,3693
2426,-56.169323,-34.900856,3583
2427,-56.169327,-34.90083,3157
2428,-56.16933,-34.900806,3157
2429,-56.16831,-34.899982,4640
2430,-56.168293,-34.899998,4640
2431,-56.166553,-34.90167,2529
2432,-56.16663,-34.902237,2993
2433,-56.166626,-34.90226,2993
2434,-56.166553,-34.902843,2851
2435,-56.166386,-34.90312,2940
2436,-56.16638,-34.903133,2712
2437,-56.166344,-34.903442,2215
2438,-56.16629,-34.903923,2723
2439,-56.166218,-34.90457,2028
2440,-56.171276,-34.903904,3380
2441,-56.17128,-34.903717,3786
2442,-56.171318,-34.903084,4037
2443,-56.17132,-34.903065,4037
2444,-56.17165,-34.90269,3593
2445,-56.171658,-34.90268,3593
2446,-56.171963,-34.90207,3355
2447,-56.171978,-34.902042,3355
2448,-56.170685,-34.90015,4571
2449,-56.17067,-34.900177,4571
2450,-56.170525,-34.90054,4222
2451,-56.17142,-34.901333,4860
2452,-56.171432,-34.90131,4860
2453,-56.170826,-34.90063,3863
2454,-56.170815,-34.900642,4222
2455,-56.170197,-34.90196,3714
2456,-56.170197,-34.90198,3714
2457,-56.170143,-34.902412,2947
2458,-56.170143,-34.902428,2947
2459,-56.170063,-34.903088,3338
2460,-56.170105,-34.904243,3224
2461,-56.170105,-34.904255,3224
2462,-56.169884,-34.904865,2677
2463,-56.173584,-34.904476,3472
2464,-56.173588,-34.904457,3472
2465,-56.172367,-34.90355,3375
2466,-56.17241,-34.904465,3534
2467,-56.172337,-34.904907,2981
2468,-56.170967,-34.90196,4190
2469,-56.17198,-34.90163,3562
2470,-56.171997,-34.90164,3562
2471,-56.17251,-34.900837,2941
2472,-56.172516,-34.90082,2941
2473,-56.16858,-34.899265,4074
2474,-56.172756,-34.913708,1402
2475,-56.172695,-34.913704,1402
2476,-56.17284,-34.910835,1993
2477,-56.172718,-34.91063,2683
2478,-56.172752,-34.910366,2274
2479,-56.172955,-34.90866,2301
2480,-56.17298,-34.908497,2492
2481,-56.17298,-34.90849,2492
2482,-56.173214,-34.907814,2692
2483,-56.173214,-34.907772,2692
2484,-56.173294,-34.906925,2243
2485,-56.173298,-34.90689,2243
2486,-56.173298,-34.905754,3114
2487,-56.1733,-34.905727,3114
2488,-56.174644,-34.90587,3065
2489,-56.17442,-34.90631,3223
2490,-56.174423,-34.906326,3223
2491,-56.173393,-34.90618,3174
2492,-56.173397,-34.906155,3174
2493,-56.172134,-34.905563,3190
2494,-56.172215,-34.906105,3266
2495,-56.17221,-34.906128,3266
2496,-56.17195,-34.90716,2569
2497,-56.172092,-34.907223,2875
2498,-56.171974,-34.908127,2609
2499,-56.17181,-34.90848,2609
2500,-56.171803,-34.90852,2866
2501,-56.1717,-34.90938,2536
2502,-56.171696,-34.909412,2536
2503,-56.171677,-34.90966,2781
2504,-56.171673,-34.909695,2654
2505,-56.17154,-34.910732,2293
2506,-56.17145,-34.911587,2746
2507,-56.171535,-34.91218,2323
2508,-56.172546,-34.912334,2406
2509,-56.17225,-34.91111,1704
2510,-56.17028,-34.912876,1935
2511,-56.172417,-34.9133,1804
2512,-56.17242,-34.913277,1804
2513,-56.17246,-34.91297,1963
2514,-56.172462,-34.912956,1963
2515,-56.169796,-34.912594,1793
2516,-56.169758,-34.912586,1793
2517,-56.169727,-34.912586,1793
2518,-56.169273,-34.912125,2118
2519,-56.16926,-34.912052,2118
2520,-56.16932,-34.91003,2630
2521,-56.169323,-34.91,2630
2522,-56.16943,-34.909042,2275
2523,-56.169434,-34.90901,2275
2524,-56.167217,-34.91023,2710
2525,-56.167217,-34.910255,2378
2526,-56.166992,-34.910847,1883
2527,-56.167107,-34.9112,1340
2528,-56.167103,-34.911232,1340
2529,-56.168602,-34.910854,2414
2530,-56.166615,-34.910145,2393
2531,-56.166607,-34.910152,2224
2532,-56.166595,-34.910175,2224
2533,-56.16303,-34.910328,1566
2534,-56.163025,-34.910324,1566
2535,-56.16329,-34.90842,2008
2536,-56.16329,-34.908413,2008
2537,-56.16331,-34.908173,2083
2538,-56.163605,-34.909054,1656
2539,-56.163605,-34.909096,1656
2540,-56.163277,-34.91192,1318
2541,-56.163273,-34.911953,1318
2542,-56.164276,-34.912045,946
2543,-56.164295,-34.91203,946
2544,-56.16527,-34.910942,1560
2545,-56.164356,-34.91098,1131
2546,-56.16432,-34.910995,1131
2547,-56.163685,-34.911674,1143
2548,-56.164722,-34.91144,828
2549,-56.1646,-34.910294,1597
2550,-56.16458,-34.90912,1922
2551,-56.164734,-34.907925,2596
2552,-56.16497,-34.907085,2599
2553,-56.16509,-34.90599,2010
2554,-56.164207,-34.904675,2071
2555,-56.164177,-34.904675,2071
2556,-56.163998,-34.905373,1270
2557,-56.163788,-34.907566,1628
2558,-56.163784,-34.90758,1628
2559,-56.1637,-34.908157,2053
2560,-56.1637,-34.90818,2053
2561,-56.16575,-34.910255,2293
2562,-56.168083,-34.91051,2549
2563,-56.168083,-34.910492,2549
2564,-56.16819,-34.90957,2848
2565,-56.168194,-34.9095,2848
2566,-56.1682,-34.909454,2848
2567,-56.168324,-34.908382,2530
2568,-56.168324,-34.90836,2530
2569,-56.16853,-34.90784,2352
2570,-56.168587,-34.907314,2491
2571,-56.168633,-34.906948,2833
2572,-56.168583,-34.906128,2836
2573,-56.168583,-34.906097,2836
2574,-56.16875,-34.90586,2836
2575,-56.16869,-34.9052,2954
2576,-56.167652,-34.906178,2366
2577,-56.167652,-34.906193,2366
2578,-56.167576,-34.90687,2797
2579,-56.16733,-34.907753,2652
2580,-56.167427,-34.908264,2407
2581,-56.167297,-34.90934,2998
2582,-56.170803,-34.907898,2346
2583,-56.17085,-34.907444,2244
2584,-56.17088,-34.905834,2832
2585,-56.170883,-34.90582,2832
2586,-56.170887,-34.9058,2832
2587,-56.17108,-34.905296,3198
2588,-56.16983,-34.905357,2811
2589,-56.169712,-34.906376,2270
2590,-56.16971,-34.9064,2270
2591,-56.169617,-34.90733,2226
2592,-56.169613,-34.907352,2226
2593,-56.16963,-34.908485,2319
2594,-56.169624,-34.908524,2319
2595,-56.16946,-34.908634,2383
2596,-56.16946,-34.908653,2383
2597,-56.169426,-34.91031,2657
2598,-56.16937,-34.911022,2692
2599,-56.169353,-34.91115,2692
2600,-56.169353,-34.911163,2692
2601,-56.170433,-34.911522,2710
2602,-56.170433,-34.911484,2710
2603,-56.17039,-34.910522,2972
2604,-56.17039,-34.910507,2972
2605,-56.17049,-34.909607,2829
2606,-56.17049,-34.909588,2829
2607,-56.170662,-34.909245,2663
2608,-56.17059,-34.90865,2357
2609,-56.16722,-34.907898,3258
2610,-56.167175,-34.90789,3258
2611,-56.165817,-34.908134,2677
2612,-56.165817,-34.90818,2741
2613,-56.16686,-34.90921,2348
2614,-56.166824,-34.909206,2348
2615,-56.16608,-34.909153,2664
2616,-56.16572,-34.9092,2079
2617,-56.165955,-34.90708,2413
2618,-56.165005,-34.905354,1387
2619,-56.165047,-34.90485,2040
2620,-56.166325,-34.904934,2948
2621,-56.16629,-34.90536,2311
2622,-56.166286,-34.90539,2311
2623,-56.166225,-34.90592,3175
2624,-56.163956,-34.906685,1937
2625,-56.18307,-34.89495,2048
2626,-56.18326,-34.894722,1999
2627,-56.183586,-34.89438,2175
2628,-56.184723,-34.893024,1305
2629,-56.185127,-34.892536,1226
2630,-56.18957,-34.891647,681
2631,-56.18949,-34.89228,799
2632,-56.189693,-34.892967,1350
2633,-56.19051,-34.89197,717
2634,-56.188805,-34.89248,858
2635,-56.188156,-34.89279,1019
2636,-56.18902,-34.89456,2814
2637,-56.18904,-34.8946,2711
2638,-56.18935,-34.89528,2537
2639,-56.189434,-34.895435,2413
2640,-56.189636,-34.895786,2711
2641,-56.18994,-34.89649,2428
2642,-56.189953,-34.896523,2428
2643,-56.19012,-34.897003,2399
2644,-56.190132,-34.897026,2399
2645,-56.190266,-34.897346,2129
2646,-56.19055,-34.897724,1970
2647,-56.188663,-34.898094,2060
2648,-56.1907,-34.898796,1447
2649,-56.190693,-34.89878,1447
2650,-56.19023,-34.897617,2129
2651,-56.19022,-34.8976,2129
2652,-56.190212,-34.89758,2129
2653,-56.190033,-34.89741,2128
2654,-56.189842,-34.89688,2530
2655,-56.18982,-34.896812,2530
2656,-56.189816,-34.896786,2530
2657,-56.189804,-34.89676,2530
2658,-56.189144,-34.89557,2583
2659,-56.189407,-34.89616,2804
2660,-56.189137,-34.895554,2583
2661,-56.18835,-34.894356,2198
2662,-56.18767,-34.894474,1721
2663,-56.18796,-34.893463,1691
2664,-56.188004,-34.893456,1691
2665,-56.18915,-34.893143,1369
2666,-56.189205,-34.89313,1369
2667,-56.190506,-34.893475,962
2668,-56.19038,-34.894535,1765
2669,-56.19038,-34.89455,1765
2670,-56.191433,-34.895283,1457
2671,-56.19143,-34.89531,1457
2672,-56.1914,-34.895607,1540
2673,-56.191395,-34.895638,1540
2674,-56.19076,-34.89593,1944
2675,-56.191013,-34.896767,2241
2676,-56.19106,-34.89677,2241
2677,-56.19115,-34.897774,1427
2678,-56.191147,-34.897804,1427
2679,-56.192226,-34.897083,843
2680,-56.19236,-34.89579,561
2681,-56.19236,-34.89576,561
2682,-56.19249,-34.894737,391
2683,-56.192585,-34.896885,718
2684,-56.192623,-34.896885,718
2685,-56.186527,-34.897682,1478
2686,-56.18692,-34.896946,1667
2687,-56.18744,-34.895153,1648
