longitud,latitud,demanda,demanda_normalizada,id
-56.184765,-34.91314,2305.0,0.34847108689070544,368
-56.184982,-34.914505,1196.0,0.18059339993944898,369
-56.18582,-34.914486,932.0,0.1406297305479867,370
-56.186,-34.912846,1675.0,0.2531032394792613,371
-56.186005,-34.912823,1675.0,0.2531032394792613,372
-56.186012,-34.912792,1675.0,0.2531032394792613,373
-56.186287,-34.911774,1714.0,0.25900696336663637,374
-56.186287,-34.91176,1714.0,0.25900696336663637,375
-56.186367,-34.90971,2245.0,0.33938843475628216,376
-56.186523,-34.909546,2791.0,0.42204056917953375,377
-56.186527,-34.909523,2791.0,0.42204056917953375,378
-56.186626,-34.908607,2592.0,0.3919164396003633,379
-56.186626,-34.90856,2354.0,0.35588858613381774,380
-56.186554,-34.907722,2210.0,0.33409022101120195,381
-56.186966,-34.9053,2641.0,0.3993339388434756,382
-56.187023,-34.904793,2735.0,0.4135634271874054,383
-56.187023,-34.904774,2735.0,0.4135634271874054,384
-56.187107,-34.904053,3059.0,0.46260974871329097,385
-56.18716,-34.90344,3225.0,0.4877384196185286,386
-56.187183,-34.903187,2703.0,0.4087193460490463,387
-56.187252,-34.902565,3134.0,0.47396306388132003,388
-56.18742,-34.901066,2879.0,0.4353617923100212,389
-56.187428,-34.90104,2879.0,0.4353617923100212,390
-56.18748,-34.900475,2014.0,0.30442022403875263,391
-56.187595,-34.899437,1644.0,0.24841053587647594,392
-56.1876,-34.899414,1644.0,0.24841053587647594,393
-56.186565,-34.899498,2324.0,0.3513472600666061,394
-56.18656,-34.89951,2324.0,0.3513472600666061,395
-56.186516,-34.901573,3094.0,0.4679079624583712,396
-56.186344,-34.903114,2758.0,0.41704511050560095,397
-56.186337,-34.903133,2758.0,0.41704511050560095,398
-56.18422,-34.903393,3427.0,0.5183166818044203,399
-56.184208,-34.903408,3427.0,0.5183166818044203,400
-56.185146,-34.90498,2357.0,0.3563427187405389,401
-56.185436,-34.90458,3148.0,0.4760823493793521,402
-56.185467,-34.904583,3373.0,0.5101422948834393,403
-56.18497,-34.904465,3356.0,0.507568876778686,404
-56.18534,-34.904037,2685.0,0.40599455040871935,405
-56.185753,-34.90194,2737.0,0.4138661822585528,406
-56.185757,-34.901917,2737.0,0.4138661822585528,407
-56.18424,-34.901222,2584.0,0.3907054193157735,408
-56.183083,-34.899834,1868.0,0.2823191038449894,409
-56.18247,-34.90217,2872.0,0.43430214956100516,410
-56.181744,-34.901443,2613.0,0.39509536784741145,411
-56.182255,-34.90078,2418.0,0.3655767484105359,412
-56.182415,-34.900246,2218.0,0.3353012412957917,413
-56.18304,-34.899364,1748.0,0.2641537995761429,414
-56.18378,-34.897842,1473.0,0.22252497729336967,415
-56.18347,-34.89685,1792.0,0.2708144111413866,416
-56.183025,-34.897556,1449.0,0.21889191643960038,417
-56.183006,-34.897587,1373.0,0.20738722373599758,418
-56.181984,-34.89933,1690.0,0.25537390251286707,419
-56.18154,-34.900066,2269.0,0.34302149561005146,420
-56.181526,-34.90009,2269.0,0.34302149561005146,421
-56.18112,-34.90076,2452.0,0.3707235846200424,422
-56.180992,-34.90098,2612.0,0.39494399031183774,423
-56.179787,-34.900875,2054.0,0.3104753254617015,424
-56.17998,-34.900585,2358.0,0.3564940962761126,425
-56.179993,-34.900562,2358.0,0.3564940962761126,426
-56.1806,-34.899544,1924.0,0.2907962458371178,427
-56.180603,-34.899536,1924.0,0.2907962458371178,428
-56.180607,-34.89953,1924.0,0.2907962458371178,429
-56.18118,-34.89864,1405.0,0.21223130487435665,430
-56.18172,-34.897865,1425.0,0.21525885558583105,431
-56.182175,-34.897186,1664.0,0.25143808658795036,432
-56.182198,-34.89716,1664.0,0.25143808658795036,433
-56.182484,-34.896725,1994.0,0.3013926733272782,434
-56.182503,-34.8967,1994.0,0.3013926733272782,435
-56.180786,-34.89695,1282.0,0.193611867998789,436
-56.181652,-34.8973,1615.0,0.24402058734483803,437
-56.18286,-34.897865,1514.0,0.22873145625189223,438
-56.182854,-34.897877,1514.0,0.22873145625189223,439
-56.186028,-34.900993,2818.0,0.4261277626400242,440
-56.18451,-34.90113,2752.0,0.41613684529215866,441
-56.18506,-34.90035,2531.0,0.38268240993036634,442
-56.186,-34.901028,2920.0,0.44156827126854375,443
-56.185524,-34.901516,3131.0,0.47350893127459887,444
-56.185097,-34.902046,3718.0,0.562367544656373,445
-56.18459,-34.902794,2978.0,0.45034816833181956,446
-56.184578,-34.902805,3401.0,0.5143808658795035,447
-56.18345,-34.902367,2951.0,0.4462609748713291,448
-56.18356,-34.902138,2418.0,0.3655767484105359,449
-56.182777,-34.901615,2535.0,0.3832879200726612,450
-56.18004,-34.898376,1354.0,0.20451105056009689,451
-56.18528,-34.899784,2383.0,0.3602785346654556,452
-56.18582,-34.899155,1750.0,0.26445655464729034,453
-56.186115,-34.898655,1977.0,0.298819255222525,454
-56.186123,-34.89865,1977.0,0.298819255222525,455
-56.184856,-34.898174,1620.0,0.24477747502270664,456
-56.18457,-34.898983,1712.0,0.25870420829548896,457
-56.184155,-34.899693,1901.0,0.2873145625189222,458
-56.183773,-34.900494,2324.0,0.3513472600666061,459
-56.18808,-34.90407,2704.0,0.40887072358462007,460
-56.188072,-34.904125,2679.0,0.405086285195277,461
-56.18544,-34.907078,1768.0,0.2671813502876173,462
-56.18511,-34.908413,2680.0,0.40523766273085077,463
-56.18511,-34.908447,2680.0,0.40523766273085077,464
-56.185146,-34.909466,2735.0,0.4135634271874054,465
-56.185143,-34.90948,2735.0,0.4135634271874054,466
-56.185062,-34.91027,2397.0,0.36239782016348776,467
-56.185043,-34.910297,2397.0,0.36239782016348776,468
-56.18485,-34.910873,2372.0,0.3586133817741447,469
-56.18447,-34.91354,1688.0,0.25507114744171966,470
-56.182636,-34.903965,3578.0,0.5411746896760521,471
-56.182808,-34.903633,3801.0,0.5749318801089919,472
-56.183033,-34.903156,3162.0,0.4782016348773842,473
-56.182228,-34.90275,3039.0,0.45958219800181654,474
-56.181774,-34.90379,2729.0,0.41265516197396307,475
-56.181763,-34.90381,2630.0,0.3976687859521647,476
-56.1809,-34.903328,2318.0,0.35043899485316377,477
-56.1822,-34.90328,3282.0,0.4963669391462307,478
-56.18266,-34.90345,3640.0,0.5505600968816228,479
-56.183304,-34.90373,3958.0,0.598698153194066,480
-56.179802,-34.902702,2619.0,0.3960036330608538,481
-56.178772,-34.902447,2278.0,0.34438389343021497,482
-56.179,-34.9021,3000.0,0.4536784741144414,483
-56.17901,-34.902092,3000.0,0.4536784741144414,484
-56.17943,-34.901352,3172.0,0.4797154102331214,485
-56.179443,-34.901318,3172.0,0.4797154102331214,486
-56.177917,-34.901585,2976.0,0.4500454132606721,487
-56.17793,-34.901592,2976.0,0.4500454132606721,488
-56.181393,-34.902065,2358.0,0.3564940962761126,489
-56.17704,-34.90057,1858.0,0.2808053284892522,490
-56.177032,-34.900593,1858.0,0.2808053284892522,491
-56.177017,-34.900616,1858.0,0.2808053284892522,492
-56.1767,-34.90119,2370.0,0.3583106267029973,493
-56.176697,-34.901207,2370.0,0.3583106267029973,494
-56.176533,-34.9018,2505.0,0.3787465940054496,495
-56.176525,-34.90181,2505.0,0.3787465940054496,496
-56.177418,-34.898983,1080.0,0.16303360581289736,497
-56.178123,-34.898453,1654.0,0.24992431123221315,498
