Poblacion,Generaciones,Greedy,Cruce,Mutacion,Fitness
200,200,0.10,1.00,0.20,-48.29
50,50,0.90,0.90,0.10,-51.04
100,500,0.90,0.80,0.05,-52.38
50,50,0.90,0.90,0.20,-51.59
200,200,0.10,1.00,0.05,-49.79
50,50,0.90,0.90,0.05,-50.72
50,50,0.90,0.90,0.01,-51.17
200,200,0.10,1.00,0.01,-49.09
500,500,0.50,0.80,0.01,-50.51
50,50,0.90,1.00,0.10,-51.48
100,500,0.90,0.80,0.01,-51.11
500,200,0.90,0.90,0.05,-55.27
50,50,0.90,1.00,0.20,-51.34
200,200,0.10,0.80,0.10,-48.50
50,50,0.90,1.00,0.05,-51.01
50,50,0.90,1.00,0.01,-51.28
50,50,0.90,0.80,0.10,-51.04
200,200,0.10,0.80,0.20,-47.10
100,500,0.90,0.70,0.10,-52.06
50,50,0.90,0.80,0.20,-50.95
50,50,0.90,0.80,0.05,-51.06
500,100,0.90,1.00,0.01,-54.04
200,200,0.10,0.80,0.05,-43.69
50,50,0.90,0.80,0.01,-50.80
50,50,0.90,0.70,0.10,-51.15
100,500,0.90,0.70,0.20,-53.79
200,200,0.10,0.80,0.01,-44.75
50,50,0.90,0.70,0.20,-51.08
50,50,0.90,0.70,0.05,-51.35
50,50,0.90,0.70,0.01,-52.85
200,200,0.10,0.70,0.10,-43.51
50,50,0.30,0.90,0.10,-44.06
50,50,0.30,0.90,0.20,-44.88
100,500,0.90,0.70,0.05,-52.53
50,50,0.30,0.90,0.05,-42.50
50,50,0.30,0.90,0.01,-43.00
50,50,0.30,1.00,0.10,-44.86
200,200,0.10,0.70,0.20,-46.57
50,50,0.30,1.00,0.20,-44.27
50,50,0.30,1.00,0.05,-44.16
50,50,0.30,1.00,0.01,-44.23
500,200,0.90,0.90,0.01,-55.01
50,50,0.30,0.80,0.10,-43.02
50,50,0.30,0.80,0.20,-43.61
200,200,0.10,0.70,0.05,-45.49
50,50,0.30,0.80,0.05,-45.39
100,500,0.90,0.70,0.01,-53.05
50,50,0.30,0.80,0.01,-44.07
50,50,0.30,0.70,0.10,-42.97
50,50,0.30,0.70,0.20,-43.85
500,100,0.90,0.80,0.10,-53.44
50,50,0.30,0.70,0.05,-43.81
200,200,0.10,0.70,0.01,-46.70
50,50,0.30,0.70,0.01,-42.61
50,50,0.10,0.90,0.10,-43.36
50,50,0.10,0.90,0.20,-41.53
500,500,0.50,0.70,0.10,-55.06
100,500,0.30,0.90,0.10,-47.76
50,50,0.10,0.90,0.05,-39.58
50,50,0.10,0.90,0.01,-39.76
50,50,0.10,1.00,0.10,-42.13
50,50,0.10,1.00,0.20,-42.67
50,50,0.10,1.00,0.05,-40.76
50,50,0.10,1.00,0.01,-41.69
50,50,0.10,0.80,0.10,-40.53
50,50,0.10,0.80,0.20,-41.14
50,50,0.10,0.80,0.05,-40.12
50,50,0.10,0.80,0.01,-42.09
50,50,0.10,0.70,0.10,-40.57
50,50,0.10,0.70,0.20,-43.43
100,500,0.30,0.90,0.20,-50.40
50,50,0.10,0.70,0.05,-41.31
50,50,0.10,0.70,0.01,-39.60
100,100,0.50,0.90,0.10,-48.85
200,500,0.50,0.90,0.10,-50.20
100,500,0.30,0.90,0.05,-46.64
100,100,0.50,0.90,0.20,-47.79
100,100,0.50,0.90,0.05,-46.89
100,500,0.30,0.90,0.01,-47.95
100,100,0.50,0.90,0.01,-46.32
500,100,0.90,0.80,0.20,-54.14
500,200,0.90,1.00,0.10,-52.70
100,100,0.50,1.00,0.10,-47.89
100,500,0.30,1.00,0.10,-46.84
100,100,0.50,1.00,0.20,-49.04
200,500,0.50,0.90,0.20,-52.75
100,100,0.50,1.00,0.05,-47.91
100,500,0.30,1.00,0.20,-49.85
100,100,0.50,1.00,0.01,-49.09
100,100,0.50,0.80,0.10,-49.36
100,500,0.30,1.00,0.05,-45.86
100,100,0.50,0.80,0.20,-47.42
200,500,0.50,0.90,0.05,-50.75
500,500,0.50,0.70,0.20,-56.02
100,100,0.50,0.80,0.05,-46.58
100,500,0.30,1.00,0.01,-46.70
100,100,0.50,0.80,0.01,-46.48
500,100,0.90,0.80,0.05,-53.52
100,500,0.30,0.80,0.10,-47.28
100,100,0.50,0.70,0.10,-50.10
100,100,0.50,0.70,0.20,-46.96
500,200,0.90,1.00,0.20,-56.68
100,500,0.30,0.80,0.20,-49.62
200,500,0.50,0.90,0.01,-49.86
100,100,0.50,0.70,0.05,-47.89
100,100,0.50,0.70,0.01,-47.85
100,500,0.30,0.80,0.05,-46.79
100,100,0.90,0.90,0.10,-51.70
100,500,0.30,0.80,0.01,-45.60
200,500,0.50,1.00,0.10,-50.86
100,100,0.90,0.90,0.20,-51.23
100,500,0.30,0.70,0.10,-46.50
500,100,0.90,0.80,0.01,-53.56
100,100,0.90,0.90,0.05,-51.23
100,500,0.30,0.70,0.20,-48.44
100,100,0.90,0.90,0.01,-51.03
500,500,0.50,0.70,0.05,-50.90
100,500,0.30,0.70,0.05,-46.04
200,500,0.50,1.00,0.20,-51.99
100,100,0.90,1.00,0.10,-54.41
500,200,0.90,1.00,0.05,-54.16
100,500,0.30,0.70,0.01,-43.60
100,100,0.90,1.00,0.20,-51.55
100,500,0.10,0.90,0.10,-48.63
100,100,0.90,1.00,0.05,-51.89
500,100,0.90,0.70,0.10,-54.02
200,500,0.50,1.00,0.05,-49.96
100,100,0.90,1.00,0.01,-52.98
100,500,0.10,0.90,0.20,-46.02
100,100,0.90,0.80,0.10,-53.90
100,500,0.10,0.90,0.05,-45.41
