Poblacion,Generaciones,Greedy,Cruce,Mutacion,Fitness
200,200,0.10,0.90,0.10,4.26
500,200,0.10,0.90,0.05,4.04
500,100,0.90,1.00,0.20,2.04
200,100,0.50,1.00,0.05,3.41
500,200,0.90,0.90,0.20,1.90
200,200,0.10,0.90,0.20,4.16
200,100,0.50,1.00,0.01,3.40
200,200,0.10,0.90,0.05,4.25
200,200,0.10,0.90,0.01,4.43
200,100,0.50,0.80,0.10,3.27
500,200,0.10,0.90,0.01,4.04
500,500,0.50,0.80,0.05,2.89
500,200,0.30,0.90,0.01,3.81
200,200,0.10,1.00,0.10,4.13
200,100,0.50,0.80,0.20,3.25
200,200,0.10,1.00,0.20,4.11
500,500,0.30,0.90,0.20,3.03
500,100,0.90,1.00,0.05,2.08
200,100,0.50,0.80,0.05,3.36
200,200,0.10,1.00,0.05,4.24
500,200,0.10,1.00,0.10,3.94
200,100,0.50,0.80,0.01,3.42
200,200,0.10,1.00,0.01,4.32
500,200,0.90,0.90,0.05,1.98
500,200,0.30,1.00,0.10,3.63
200,200,0.10,0.80,0.10,4.17
200,100,0.50,0.70,0.10,3.32
200,200,0.10,0.80,0.20,4.19
500,200,0.10,1.00,0.20,3.93
200,100,0.50,0.70,0.20,3.25
200,200,0.10,0.80,0.05,4.34
500,100,0.90,1.00,0.01,2.10
200,100,0.50,0.70,0.05,3.39
200,200,0.10,0.80,0.01,4.42
500,500,0.50,0.80,0.01,3.19
500,200,0.30,1.00,0.20,3.52
200,200,0.10,0.70,0.10,4.29
200,100,0.50,0.70,0.01,3.41
500,200,0.10,1.00,0.05,3.99
500,500,0.30,0.90,0.05,3.33
200,200,0.10,0.70,0.20,4.19
500,200,0.90,0.90,0.01,2.08
200,200,0.10,0.70,0.05,4.33
200,100,0.90,0.90,0.10,2.07
200,200,0.10,0.70,0.01,4.39
500,200,0.10,1.00,0.01,4.10
500,200,0.30,1.00,0.05,3.73
500,100,0.90,0.80,0.10,2.06
200,100,0.90,0.90,0.20,2.05
200,500,0.50,0.90,0.10,2.93
200,100,0.90,0.90,0.05,2.10
500,200,0.10,0.80,0.10,4.12
500,500,0.50,0.70,0.10,2.76
500,200,0.30,1.00,0.01,3.86
500,500,0.30,0.90,0.01,3.60
500,200,0.90,1.00,0.10,2.01
200,100,0.90,0.90,0.01,2.14
200,500,0.50,0.90,0.20,2.81
500,200,0.10,0.80,0.20,3.95
500,100,0.90,0.80,0.20,2.04
200,100,0.90,1.00,0.10,2.13
200,500,0.50,0.90,0.05,3.06
500,200,0.30,0.80,0.10,3.62
200,100,0.90,1.00,0.20,2.12
500,200,0.10,0.80,0.05,4.19
200,500,0.50,0.90,0.01,3.33
200,100,0.90,1.00,0.05,2.11
500,200,0.90,1.00,0.20,1.97
500,100,0.90,0.80,0.05,2.07
500,200,0.30,0.80,0.20,3.55
500,500,0.50,0.70,0.20,2.64
